id,date,prix,nb_chambres,nb_sdb,m2_interieur,m2_jardin,m2_etage,m2_soussol,nb_etages,vue_mer,vue_note,etat_note,design_note,annee_construction,annee_renovation,m2_interieur_15voisins,m2_jardin_15voisins,zipcode,lat,long
4443800785,2014-11-21T00:00:00Z,481000,2,1,150.5016722,360.4607952,85.47008547,65.03158677,1,0,0,4,7,1924,0,123.5600149,360.4607952,98117,47.6855,-122.391
2722059013,2015-02-04T00:00:00Z,550000,2,1,117.9858789,4046.822742,117.9858789,0,1,0,0,4,5,1908,0,173.7272389,646.599777,98042,47.3651,-122.165
8856004730,2014-09-17T00:00:00Z,199950,2,2.75,147.7146042,1943.236715,147.7146042,0,1.5,0,0,3,5,1920,0,121.7019695,557.4136009,98001,47.2786,-122.25
2473003210,2015-03-13T00:00:00Z,364808,3,1.75,215.533259,731.6053512,150.5016722,65.03158677,1,0,0,3,8,1967,0,184.875511,903.0100334,98058,47.4524,-122.146
6743700335,2014-06-04T00:00:00Z,470000,3,2,167.2240803,1176.978818,167.2240803,0,1,0,0,3,7,1956,1990,183.0174656,908.1196581,98033,47.6935,-122.173
9406510130,2015-05-05T00:00:00Z,448000,5,3.5,347.4544779,2293.199554,256.4102564,91.04422148,2,0,0,3,9,1998,0,267.5585284,2417.595689,98038,47.3832,-122.057
868000905,2014-07-08T00:00:00Z,950000,3,2.5,323.2998885,724.6376812,162.5789669,160.7209216,1,0,0,4,7,1941,1998,279.6358231,921.4046823,98177,47.7047,-122.378
4309710240,2014-07-22T00:00:00Z,725000,4,2.5,277.7777778,2709.959123,277.7777778,0,2,0,3,3,9,1999,0,345.1319212,2709.959123,98059,47.5146,-122.117
7167000020,2014-06-16T00:00:00Z,792500,4,2.5,398.5507246,16297.00855,398.5507246,0,2,0,0,3,10,2004,0,313.0806392,5867.892977,98010,47.3585,-121.988
7222000090,2014-05-06T00:00:00Z,580000,4,3.25,331.5681903,773.5971758,331.5681903,0,2,0,0,3,10,2013,0,236.9007804,487.829803,98055,47.4595,-122.208
4299700095,2014-05-16T00:00:00Z,254000,4,2,140.2824229,393.4411,140.2824229,0,1,0,0,3,7,1955,0,140.2824229,396.5068748,98108,47.546,-122.293
4019300906,2014-07-24T00:00:00Z,685000,5,2.5,248.0490524,1342.902267,248.0490524,0,2,0,0,5,9,1958,0,168.1531029,1342.902267,98155,47.7565,-122.284
2768100180,2014-06-06T00:00:00Z,595000,4,2.5,184.875511,202.0624303,156.0758082,28.79970271,2,0,0,3,8,2005,0,144.9275362,193.8870308,98107,47.6696,-122.371
3630220220,2014-09-23T00:00:00Z,775000,4,3.5,284.2809365,424.8420661,223.894463,60.38647343,2,0,0,3,9,2012,0,294.5001858,337.6068376,98029,47.5522,-122.001
