time_float,time_date
40179.00 ,2010-1-1
40180.00 ,2010-1-2
40181.00 ,2010-1-3
40182.00 ,2010-1-4
40183.00 ,2010-1-5
40184.00 ,2010-1-6
40185.00 ,2010-1-7
40186.00 ,2010-1-8
40187.00 ,2010-1-9
40188.00 ,2010-1-10
40189.00 ,2010-1-11
40190.00 ,2010-1-12
40191.00 ,2010-1-13
40192.00 ,2010-1-14
40193.00 ,2010-1-15
40194.00 ,2010-1-16
40195.00 ,2010-1-17
40196.00 ,2010-1-18
40197.00 ,2010-1-19
40198.00 ,2010-1-20
40199.00 ,2010-1-21
40200.00 ,2010-1-22
40201.00 ,2010-1-23
40202.00 ,2010-1-24
40203.00 ,2010-1-25
40204.00 ,2010-1-26
40205.00 ,2010-1-27
40206.00 ,2010-1-28
40207.00 ,2010-1-29
40208.00 ,2010-1-30
40209.00 ,2010-1-31
40210.00 ,2010-2-1
40211.00 ,2010-2-2
40212.00 ,2010-2-3
40213.00 ,2010-2-4
40214.00 ,2010-2-5
40215.00 ,2010-2-6
40216.00 ,2010-2-7
40217.00 ,2010-2-8
40218.00 ,2010-2-9
40219.00 ,2010-2-10
40220.00 ,2010-2-11
40221.00 ,2010-2-12
40222.00 ,2010-2-13
40223.00 ,2010-2-14
40224.00 ,2010-2-15
40225.00 ,2010-2-16
40226.00 ,2010-2-17
40227.00 ,2010-2-18
40228.00 ,2010-2-19
40229.00 ,2010-2-20
40230.00 ,2010-2-21
40231.00 ,2010-2-22
40232.00 ,2010-2-23
40233.00 ,2010-2-24
40234.00 ,2010-2-25
40235.00 ,2010-2-26
40236.00 ,2010-2-27
40237.00 ,2010-2-28
40238.00 ,2010-3-1
40239.00 ,2010-3-2
40240.00 ,2010-3-3
40241.00 ,2010-3-4
40242.00 ,2010-3-5
40243.00 ,2010-3-6
40244.00 ,2010-3-7
40245.00 ,2010-3-8
40246.00 ,2010-3-9
40247.00 ,2010-3-10
40248.00 ,2010-3-11
40249.00 ,2010-3-12
40250.00 ,2010-3-13
40251.00 ,2010-3-14
40252.00 ,2010-3-15
40253.00 ,2010-3-16
40254.00 ,2010-3-17
40255.00 ,2010-3-18
40256.00 ,2010-3-19
40257.00 ,2010-3-20
40258.00 ,2010-3-21
40259.00 ,2010-3-22
40260.00 ,2010-3-23
40261.00 ,2010-3-24
40262.00 ,2010-3-25
40263.00 ,2010-3-26
40264.00 ,2010-3-27
40265.00 ,2010-3-28
40266.00 ,2010-3-29
40267.00 ,2010-3-30
40268.00 ,2010-3-31
40269.00 ,2010-4-1
40270.00 ,2010-4-2
40271.00 ,2010-4-3
40272.00 ,2010-4-4
40273.00 ,2010-4-5
40274.00 ,2010-4-6
40275.00 ,2010-4-7
40276.00 ,2010-4-8
40277.00 ,2010-4-9
40278.00 ,2010-4-10
40279.00 ,2010-4-11
40280.00 ,2010-4-12
40281.00 ,2010-4-13
40282.00 ,2010-4-14
40283.00 ,2010-4-15
40284.00 ,2010-4-16
40285.00 ,2010-4-17
40286.00 ,2010-4-18
40287.00 ,2010-4-19
40288.00 ,2010-4-20
40289.00 ,2010-4-21
40290.00 ,2010-4-22
40291.00 ,2010-4-23
40292.00 ,2010-4-24
40293.00 ,2010-4-25
40294.00 ,2010-4-26
40295.00 ,2010-4-27
40296.00 ,2010-4-28
40297.00 ,2010-4-29
40298.00 ,2010-4-30
40299.00 ,2010-5-1
40300.00 ,2010-5-2
40301.00 ,2010-5-3
40302.00 ,2010-5-4
40303.00 ,2010-5-5
40304.00 ,2010-5-6
40305.00 ,2010-5-7
40306.00 ,2010-5-8
40307.00 ,2010-5-9
40308.00 ,2010-5-10
40309.00 ,2010-5-11
40310.00 ,2010-5-12
40311.00 ,2010-5-13
40312.00 ,2010-5-14
40313.00 ,2010-5-15
40314.00 ,2010-5-16
40315.00 ,2010-5-17
40316.00 ,2010-5-18
40317.00 ,2010-5-19
